theta(degree),Height(m),v0(m/s),t(s),x(m),label,label2
42,2.4,14,2.127,22.135,1,1
42,2.4,13,2.004,19.36,,1
41,2.4,12,1.854,16.791,,1
41,2.4,11,1.737,14.42,,1
40,2.4,10,1.599,12.249,,1
39,2.4,9,1.468,10.271,,1
43,2.4,14,2.161,22.126,,
41,2.4,14,2.093,22.12,,
44,2.4,14,2.194,22.095,,
40,2.4,14,2.059,22.087,,
45,2.4,14,2.226,22.041,,
39,2.4,14,2.024,22.027,,
46,2.4,14,2.258,21.964,,
38,2.4,14,1.989,21.948,,
47,2.4,14,2.29,21.865,,
37,2.4,14,1.954,21.847,,
48,2.4,14,2.321,21.743,,
36,2.4,14,1.918,21.729,,
49,2.4,14,2.351,21.598,,
35,2.4,14,1.882,21.589,,
50,2.4,14,2.381,21.431,,
34,2.4,14,1.846,21.426,,
33,2.4,14,1.809,21.246,,
32,2.4,14,1.773,21.05,,
31,2.4,14,1.736,20.833,,
30,2.4,14,1.698,20.593,,
41,2.4,13,1.973,19.358,,
43,2.4,13,2.035,19.348,,
40,2.4,13,1.941,19.335,,
44,2.4,13,2.065,19.311,,
39,2.4,13,1.91,19.297,,
45,2.4,13,2.095,19.258,,
38,2.4,13,1.877,19.233,,
46,2.4,13,2.124,19.185,,
37,2.4,13,1.845,19.16,,
47,2.4,13,2.153,19.093,,
36,2.4,13,1.812,19.062,,
48,2.4,13,2.182,18.981,,
35,2.4,13,1.779,18.95,,
49,2.4,13,2.21,18.849,,
34,2.4,13,1.746,18.823,,
50,2.4,13,2.237,18.697,,
33,2.4,13,1.713,18.676,,
32,2.4,13,1.679,18.51,,
31,2.4,13,1.645,18.336,,
30,2.4,13,1.611,18.143,,
42,2.4,12,1.882,16.788,,
40,2.4,12,1.825,16.781,,
43,2.4,12,1.91,16.767,,
39,2.4,12,1.796,16.754,,
44,2.4,12,1.938,16.729,,
38,2.4,12,1.767,16.714,,
45,2.4,12,1.965,16.674,,
37,2.4,12,1.738,16.656,,
46,2.4,12,1.992,16.605,,
36,2.4,12,1.708,16.582,,
47,2.4,12,2.018,16.519,,
35,2.4,12,1.678,16.494,,
48,2.4,12,2.044,16.416,,
34,2.4,12,1.648,16.395,,
49,2.4,12,2.07,16.297,,
33,2.4,12,1.617,16.279,,
50,2.4,12,2.095,16.16,,
32,2.4,12,1.587,16.15,,
31,2.4,12,1.556,16.005,,
30,2.4,12,1.525,15.853,,
40,2.4,11,1.711,14.418,,
42,2.4,11,1.762,14.408,,
39,2.4,11,1.685,14.404,,
43,2.4,11,1.787,14.38,,
38,2.4,11,1.658,14.376,,
44,2.4,11,1.812,14.342,,
37,2.4,11,1.632,14.337,,
45,2.4,11,1.837,14.289,,
36,2.4,11,1.605,14.288,,
46,2.4,11,1.861,14.224,,
35,2.4,11,1.578,14.223,,
34,2.4,11,1.551,14.144,,
47,2.4,11,1.885,14.141,,
33,2.4,11,1.524,14.059,,
48,2.4,11,1.908,14.047,,
32,2.4,11,1.496,13.96,,
49,2.4,11,1.931,13.939,,
31,2.4,11,1.468,13.846,,
50,2.4,11,1.954,13.82,,
30,2.4,11,1.441,13.727,,
39,2.4,10,1.575,12.244,,
41,2.4,10,1.622,12.241,,
38,2.4,10,1.552,12.23,,
42,2.4,10,1.644,12.221,,
37,2.4,10,1.528,12.207,,
43,2.4,10,1.667,12.192,,
36,2.4,10,1.504,12.172,,
44,2.4,10,1.689,12.153,,
35,2.4,10,1.48,12.128,,
45,2.4,10,1.711,12.099,,
34,2.4,10,1.456,12.075,,
46,2.4,10,1.733,12.038,,
33,2.4,10,1.432,12.01,,
47,2.4,10,1.754,11.962,,
32,2.4,10,1.407,11.936,,
48,2.4,10,1.775,11.877,,
31,2.4,10,1.383,11.855,,
49,2.4,10,1.795,11.78,,
30,2.4,10,1.358,11.765,,
50,2.4,10,1.816,11.673,,
38,2.4,9,1.448,10.269,,
40,2.4,9,1.489,10.266,,
37,2.4,9,1.427,10.257,,
41,2.4,9,1.509,10.25,,
36,2.4,9,1.406,10.237,,
42,2.4,9,1.529,10.226,,
35,2.4,9,1.385,10.211,,
43,2.4,9,1.549,10.196,,
34,2.4,9,1.363,10.174,,
44,2.4,9,1.568,10.155,,
33,2.4,9,1.342,10.133,,
45,2.4,9,1.588,10.106,,
32,2.4,9,1.321,10.082,,
46,2.4,9,1.607,10.047,,
31,2.4,9,1.299,10.021,,
47,2.4,9,1.625,9.977,,
30,2.4,9,1.277,9.957,,
48,2.4,9,1.644,9.9,,
49,2.4,9,1.662,9.813,,
50,2.4,9,1.68,9.719,,
42,2.3,14,2.118,22.041,1,
43,2.3,14,2.152,22.034,,
41,2.3,14,2.084,22.025,,
44,2.3,14,2.185,22.01,,
40,2.3,14,2.05,21.991,,
45,2.3,14,2.218,21.957,,
39,2.3,14,2.015,21.929,,
46,2.3,14,2.25,21.882,,
38,2.3,14,1.98,21.849,,
47,2.3,14,2.281,21.784,,
37,2.3,14,1.945,21.747,,
48,2.3,14,2.313,21.668,,
36,2.3,14,1.909,21.622,,
49,2.3,14,2.343,21.525,,
35,2.3,14,1.873,21.48,,
50,2.3,14,2.373,21.359,,
34,2.3,14,1.836,21.315,,
33,2.3,14,1.799,21.129,,
32,2.3,14,1.763,20.932,,
31,2.3,14,1.725,20.707,,
30,2.3,14,1.688,20.472,,
42,2.3,13,1.995,19.273,,
41,2.3,13,1.964,19.269,,
43,2.3,13,2.026,19.262,,
40,2.3,13,1.932,19.24,,
44,2.3,13,2.056,19.227,,
39,2.3,13,1.9,19.201,,
45,2.3,13,2.086,19.175,,
38,2.3,13,1.868,19.136,,
46,2.3,13,2.115,19.104,,
37,2.3,13,1.835,19.057,,
47,2.3,13,2.144,19.013,,
36,2.3,13,1.802,18.957,,
48,2.3,13,2.173,18.907,,
35,2.3,13,1.769,18.843,,
49,2.3,13,2.201,18.776,,
34,2.3,13,1.736,18.71,,
50,2.3,13,2.229,18.626,,
33,2.3,13,1.702,18.562,,
32,2.3,13,1.668,18.395,,
31,2.3,13,1.634,18.214,,
30,2.3,13,1.6,18.019,,
41,2.3,12,1.844,16.705,,
42,2.3,12,1.873,16.703,,
40,2.3,12,1.815,16.689,,
43,2.3,12,1.901,16.684,,
39,2.3,12,1.786,16.66,,
44,2.3,12,1.928,16.647,,
38,2.3,12,1.757,16.614,,
45,2.3,12,1.956,16.597,,
37,2.3,12,1.727,16.556,,
46,2.3,12,1.982,16.526,,
36,2.3,12,1.697,16.48,,
47,2.3,12,2.009,16.442,,
35,2.3,12,1.667,16.391,,
48,2.3,12,2.035,16.344,,
34,2.3,12,1.637,16.286,,
49,2.3,12,2.061,16.226,,
33,2.3,12,1.606,16.168,,
50,2.3,12,2.086,16.09,,
32,2.3,12,1.576,16.038,,
31,2.3,12,1.545,15.892,,
30,2.3,12,1.514,15.734,,
40,2.3,11,1.701,14.333,,
41,2.3,11,1.726,14.333,,
42,2.3,11,1.752,14.326,,
39,2.3,11,1.674,14.315,,
43,2.3,11,1.777,14.3,,
38,2.3,11,1.648,14.285,,
44,2.3,11,1.802,14.263,,
37,2.3,11,1.621,14.245,,
45,2.3,11,1.827,14.215,,
36,2.3,11,1.594,14.19,,
46,2.3,11,1.851,14.148,,
35,2.3,11,1.567,14.124,,
47,2.3,11,1.875,14.07,,
34,2.3,11,1.54,14.044,,
48,2.3,11,1.899,13.977,,
33,2.3,11,1.512,13.953,,
49,2.3,11,1.922,13.874,,
32,2.3,11,1.485,13.853,,
50,2.3,11,1.945,13.752,,
31,2.3,11,1.457,13.738,,
30,2.3,11,1.429,13.613,,
40,2.3,10,1.588,12.165,,
39,2.3,10,1.564,12.158,,
41,2.3,10,1.611,12.158,,
38,2.3,10,1.541,12.143,,
42,2.3,10,1.634,12.143,,
37,2.3,10,1.517,12.115,,
43,2.3,10,1.656,12.115,,
36,2.3,10,1.493,12.079,,
44,2.3,10,1.679,12.078,,
35,2.3,10,1.469,12.033,,
45,2.3,10,1.701,12.028,,
34,2.3,10,1.444,11.975,,
46,2.3,10,1.722,11.965,,
33,2.3,10,1.42,11.913,,
47,2.3,10,1.744,11.894,,
32,2.3,10,1.395,11.835,,
48,2.3,10,1.765,11.81,,
31,2.3,10,1.371,11.752,,
49,2.3,10,1.785,11.714,,
30,2.3,10,1.346,11.657,,
50,2.3,10,1.806,11.609,,
39,2.3,9,1.457,10.191,,
40,2.3,9,1.477,10.186,,
38,2.3,9,1.436,10.184,,
41,2.3,9,1.498,10.175,,
37,2.3,9,1.415,10.171,,
42,2.3,9,1.518,10.153,,
36,2.3,9,1.394,10.15,,
43,2.3,9,1.538,10.123,,
35,2.3,9,1.373,10.122,,
34,2.3,9,1.351,10.084,,
44,2.3,9,1.557,10.083,,
33,2.3,9,1.33,10.039,,
45,2.3,9,1.577,10.036,,
32,2.3,9,1.308,9.987,,
46,2.3,9,1.596,9.978,,
31,2.3,9,1.287,9.929,,
47,2.3,9,1.615,9.913,,
30,2.3,9,1.265,9.86,,
48,2.3,9,1.633,9.837,,
49,2.3,9,1.651,9.751,,
50,2.3,9,1.669,9.658,,
42,2.2,14,2.11,21.952,1,
43,2.2,14,2.143,21.947,,
41,2.2,14,2.076,21.935,,
44,2.2,14,2.176,21.919,,
40,2.2,14,2.041,21.894,,
45,2.2,14,2.209,21.873,,
39,2.2,14,2.006,21.831,,
46,2.2,14,2.241,21.799,,
38,2.2,14,1.971,21.744,,
47,2.2,14,2.273,21.707,,
37,2.2,14,1.935,21.641,,
48,2.2,14,2.304,21.588,,
36,2.2,14,1.899,21.514,,
49,2.2,14,2.335,21.447,,
35,2.2,14,1.863,21.365,,
50,2.2,14,2.365,21.287,,
34,2.2,14,1.826,21.199,,
33,2.2,14,1.789,21.011,,
32,2.2,14,1.752,20.807,,
31,2.2,14,1.715,20.581,,
30,2.2,14,1.677,20.339,,
42,2.2,13,1.985,19.182,,
41,2.2,13,1.954,19.176,,
43,2.2,13,2.016,19.172,,
40,2.2,13,1.922,19.145,,
44,2.2,13,2.047,19.142,,
39,2.2,13,1.89,19.1,,
45,2.2,13,2.077,19.093,,
38,2.2,13,1.858,19.039,,
46,2.2,13,2.107,19.027,,
37,2.2,13,1.825,18.953,,
47,2.2,13,2.136,18.938,,
36,2.2,13,1.792,18.852,,
48,2.2,13,2.164,18.828,,
35,2.2,13,1.759,18.737,,
49,2.2,13,2.193,18.704,,
34,2.2,13,1.726,18.602,,
50,2.2,13,2.22,18.555,,
33,2.2,13,1.692,18.447,,
32,2.2,13,1.658,18.279,,
31,2.2,13,1.624,18.097,,
30,2.2,13,1.589,17.895,,
41,2.2,12,1.834,16.614,,
42,2.2,12,1.863,16.614,,
40,2.2,12,1.805,16.597,,
43,2.2,12,1.891,16.596,,
39,2.2,12,1.776,16.567,,
44,2.2,12,1.919,16.565,,
38,2.2,12,1.747,16.52,,
45,2.2,12,1.946,16.517,,
37,2.2,12,1.717,16.455,,
46,2.2,12,1.973,16.451,,
36,2.2,12,1.687,16.378,,
47,2.2,12,2,16.368,,
35,2.2,12,1.657,16.288,,
48,2.2,12,2.026,16.268,,
34,2.2,12,1.626,16.181,,
49,2.2,12,2.052,16.155,,
33,2.2,12,1.596,16.062,,
50,2.2,12,2.077,16.021,,
32,2.2,12,1.565,15.926,,
31,2.2,12,1.534,15.779,,
30,2.2,12,1.502,15.614,,
41,2.2,11,1.716,14.25,,
40,2.2,11,1.69,14.245,,
42,2.2,11,1.742,14.24,,
39,2.2,11,1.664,14.225,,
43,2.2,11,1.767,14.219,,
38,2.2,11,1.637,14.194,,
44,2.2,11,1.792,14.184,,
